vertex_number,arista_number,p_value,greatest_component
100,0,0,0
100,49,0.01,0
100,99,0.02,0
100,148,0.03,0
100,198,0.04,0
100,247,0.05,0
100,297,0.06,0
100,346,0.07,0
100,396,0.08,0
100,445,0.09,0
100,495,0.1,0
100,544,0.11,0
100,594,0.12,0
100,643,0.13,0
100,693,0.14,0
100,742,0.15,0
100,792,0.16,0
100,841,0.17,0
100,891,0.18,0
100,940,0.19,0
100,990,0.2,0
100,1039,0.21,0
100,1089,0.22,0
100,1138,0.23,0
100,1188,0.24,0
100,1237,0.25,0
100,1287,0.26,0
100,1336,0.27,0
100,1386,0.28,0
100,1435,0.29,0
100,1485,0.3,0
100,1534,0.31,0
100,1584,0.32,0
100,1633,0.33,0
100,1683,0.34,0
100,1732,0.35,0
100,1782,0.36,0
100,1831,0.37,0
100,1881,0.38,0
100,1930,0.39,0
100,1980,0.4,0
100,2029,0.41,0
100,2079,0.42,0
100,2128,0.43,0
100,2178,0.44,0
100,2227,0.45,0
100,2277,0.46,0
100,2326,0.47,0
100,2376,0.48,0
100,2425,0.49,0
100,2475,0.5,0
100,2524,0.51,0
100,2574,0.52,0
100,2623,0.53,0
100,2673,0.54,0
100,2722,0.55,0
100,2772,0.56,0
100,2821,0.57,0
100,2871,0.58,0
100,2920,0.59,0
100,2970,0.6,0
100,3019,0.61,0
100,3069,0.62,0
100,3118,0.63,0
100,3168,0.64,0
100,3217,0.65,0
100,3267,0.66,0
100,3316,0.67,0
100,3366,0.68,0
100,3415,0.69,0
100,3465,0.7,0
100,3514,0.71,0
100,3564,0.72,0
100,3613,0.73,0
100,3663,0.74,0
100,3712,0.75,0
100,3762,0.76,0
100,3811,0.77,0
100,3860,0.78,0
100,3910,0.79,0
100,3960,0.8,0
100,4009,0.81,0
100,4059,0.82,0
100,4108,0.83,0
100,4158,0.84,0
100,4207,0.85,0
100,4257,0.86,0
100,4306,0.87,0
100,4356,0.88,0
100,4405,0.89,0
100,4455,0.9,0
100,4504,0.91,0
100,4554,0.92,0
100,4603,0.93,0
100,4653,0.94,0
100,4702,0.95,0
100,4752,0.96,0
100,4801,0.97,0
100,4851,0.98,0
100,4900,0.99,0
100,4950,1,0
