vertex_number,arista_number,p_value,és_connex,n_connexions,computation_time
73,0,0,0,73,0
73,131,0.05,0,21,0
73,262,0.1,0,9,0
73,394,0.15,0,7,0
73,525,0.2,0,6,0
73,657,0.25,0,3,0
73,788,0.3,0,5,0
73,919,0.35,0,4,0
73,1051,0.4,0,3,0
73,1182,0.45,1,1,0
73,1314,0.5,1,1,0
73,1445,0.55,0,2,0
73,1576,0.6,0,2,0
73,1708,0.65,1,1,0
73,1839,0.7,0,2,0
73,1971,0.75,1,1,1.84467e+16
73,2102,0.8,0,2,0
73,2233,0.85,1,1,0
73,2365,0.9,1,1,0
73,2496,0.95,1,1,0
73,0,0,0,73,0
73,131,0.05,0,17,0
73,262,0.1,0,10,0
73,394,0.15,0,6,0
73,525,0.2,0,2,0
73,657,0.25,0,2,0
73,788,0.3,0,4,0
73,919,0.35,0,3,0
73,1051,0.4,0,3,0
73,1182,0.45,1,1,0
73,1314,0.5,0,2,0
73,1445,0.55,0,2,1.84467e+16
73,1576,0.6,0,2,0
73,1708,0.65,0,2,0
73,1839,0.7,1,1,0
73,1971,0.75,1,1,0
73,2102,0.8,1,1,0
73,2233,0.85,1,1,0
73,2365,0.9,0,2,0
73,2496,0.95,1,1,0
73,0,0,0,73,0
73,131,0.05,0,21,0
73,262,0.1,0,13,0
73,394,0.15,0,7,0
73,525,0.2,0,5,0
73,657,0.25,1,1,0
73,788,0.3,0,4,0
73,919,0.35,0,4,0
73,1051,0.4,0,2,0
73,1182,0.45,1,1,0
73,1314,0.5,0,2,0
73,1445,0.55,0,2,0
73,1576,0.6,1,1,0
73,1708,0.65,1,1,0
73,1839,0.7,0,2,0
73,1971,0.75,1,1,0
73,2102,0.8,1,1,0
73,2233,0.85,1,1,0
73,2365,0.9,1,1,0
73,2496,0.95,1,1,0
73,0,0,0,73,0
73,131,0.05,0,19,0
73,262,0.1,0,11,0
73,394,0.15,0,7,0
73,525,0.2,0,7,0
73,657,0.25,0,3,0
73,788,0.3,0,3,0
73,919,0.35,0,2,0
73,1051,0.4,0,2,0
73,1182,0.45,0,2,0
73,1314,0.5,1,1,0
73,1445,0.55,0,2,0
73,1576,0.6,0,2,0
73,1708,0.65,0,2,0
73,1839,0.7,1,1,0
73,1971,0.75,0,2,1.84467e+16
73,2102,0.8,1,1,0
73,2233,0.85,1,1,0
73,2365,0.9,1,1,1.84467e+16
73,2496,0.95,1,1,0
73,0,0,0,73,0
73,131,0.05,0,20,0
73,262,0.1,0,11,0
73,394,0.15,0,8,0
73,525,0.2,0,8,0
73,657,0.25,0,2,0
73,788,0.3,0,3,0
73,919,0.35,0,4,0
73,1051,0.4,1,1,0
