vertex_number,arista_number,p_value,is_giant,greatest_component,computation_time
178,0,0,0,1,0
178,787,0.05,1,89,0
178,1575,0.1,1,133,0
178,2362,0.15,1,154,0.015
178,3150,0.2,1,166,0
178,3938,0.25,1,164,0
178,4725,0.3,1,178,0
178,5513,0.35,1,176,0.016
178,6301,0.4,1,175,0.015
178,7088,0.45,1,173,0
178,7876,0.5,1,177,0.015
178,8664,0.55,1,178,0
178,9451,0.6,1,176,0.016
178,10239,0.65,1,176,0.016
178,11027,0.7,1,178,0.015
178,11814,0.75,1,178,0.016
178,12602,0.8,1,178,0.015
178,13390,0.85,1,178,0.015
178,14177,0.9,1,178,0.016
178,14965,0.95,1,178,0.031
178,0,0,0,1,0
178,787,0.05,1,92,0
178,1575,0.1,1,142,0
178,2362,0.15,1,153,0
178,3150,0.2,1,162,0
178,3938,0.25,1,160,0
178,4725,0.3,1,168,0
178,5513,0.35,1,175,0
178,6301,0.4,1,176,0
178,7088,0.45,1,174,0.015
178,7876,0.5,1,175,0.015
178,8664,0.55,1,178,0.016
178,9451,0.6,1,178,0.016
178,10239,0.65,1,178,0.015
178,11027,0.7,1,178,0.015
178,11814,0.75,1,175,0
178,12602,0.8,1,178,0.016
178,13390,0.85,1,177,0
178,14177,0.9,1,178,0
178,14965,0.95,1,178,0.016
178,0,0,0,1,0
178,787,0.05,1,89,0
178,1575,0.1,1,134,0
178,2362,0.15,1,145,0
178,3150,0.2,1,160,0
178,3938,0.25,1,169,0.016
178,4725,0.3,1,167,0.015
178,5513,0.35,1,172,0.016
178,6301,0.4,1,178,0
178,7088,0.45,1,176,0
178,7876,0.5,1,175,0.016
178,8664,0.55,1,178,0
178,9451,0.6,1,175,0.016
178,10239,0.65,1,177,0.016
178,11027,0.7,1,176,0.015
178,11814,0.75,1,178,0.031
178,12602,0.8,1,178,0.015
178,13390,0.85,1,178,0.015
178,14177,0.9,1,178,0.015
178,14965,0.95,1,178,0.016
178,0,0,0,1,0
178,787,0.05,1,73,0
178,1575,0.1,1,131,0
178,2362,0.15,1,161,0
178,3150,0.2,1,163,0
178,3938,0.25,1,175,0.016
178,4725,0.3,1,178,0
178,5513,0.35,1,172,0
178,6301,0.4,1,171,0
178,7088,0.45,1,173,0.015
178,7876,0.5,1,174,0
178,8664,0.55,1,176,0
178,9451,0.6,1,175,0.016
178,10239,0.65,1,178,0
178,11027,0.7,1,178,0.016
178,11814,0.75,1,177,0.016
178,12602,0.8,1,176,0.016
178,13390,0.85,1,178,0.016
178,14177,0.9,1,177,0.015
178,14965,0.95,1,178,0.016
178,0,0,0,1,0
178,787,0.05,1,77,0
178,1575,0.1,1,141,0
178,2362,0.15,1,160,0
178,3150,0.2,1,172,0
178,3938,0.25,1,173,0.016
178,4725,0.3,1,165,0.016
178,5513,0.35,1,169,0.015
178,6301,0.4,1,177,0.016
178,7088,0.45,1,178,0.015
178,7876,0.5,1,177,0.016
178,8664,0.55,1,175,0.016
178,9451,0.6,1,178,0.015
178,10239,0.65,1,178,0.015
178,11027,0.7,1,178,0.015
178,11814,0.75,1,178,0.031
178,12602,0.8,1,178,0.015
178,13390,0.85,1,178,0.015
178,14177,0.9,1,178,0.031
178,14965,0.95,1,178,0.016
158,0,0,0,1,0
158,620,0.05,1,82,0
158,1240,0.1,1,128,0
158,1860,0.15,1,145,0.015
158,2480,0.2,1,143,0
158,3100,0.25,1,146,0.016
158,3720,0.3,1,152,0
158,4341,0.35,1,155,0
158,4961,0.4,1,158,0
158,5581,0.45,1,155,0
158,6201,0.5,1,158,0.016
158,6821,0.55,1,152,0.015
158,7441,0.6,1,158,0.016
158,8061,0.65,1,155,0.016
158,8682,0.7,1,158,0.016
158,9302,0.75,1,158,0.016
158,9922,0.8,1,157,0.031
158,10542,0.85,1,158,0.015
158,11162,0.9,1,158,0.015
158,11782,0.95,1,158,0.031
158,0,0,0,1,0
158,620,0.05,1,71,0
158,1240,0.1,1,105,0.016
158,1860,0.15,1,145,0
158,2480,0.2,1,152,0.016
158,3100,0.25,1,153,0.015
158,3720,0.3,1,150,0.016
158,4341,0.35,1,153,0.015
158,4961,0.4,1,156,0.016
158,5581,0.45,1,156,0.016
158,6201,0.5,1,158,0.016
158,6821,0.55,1,156,0.016
158,7441,0.6,1,155,0.015
158,8061,0.65,1,158,0.031
158,8682,0.7,1,158,0.016
158,9302,0.75,1,158,0.015
158,9922,0.8,1,158,0.016
158,10542,0.85,1,158,0
158,11162,0.9,1,157,0.016
158,11782,0.95,1,158,0.016
158,0,0,0,1,0
158,620,0.05,1,75,0
158,1240,0.1,1,136,0
158,1860,0.15,1,128,0.015
158,2480,0.2,1,139,0.016
158,3100,0.25,1,155,0
158,3720,0.3,1,158,0
158,4341,0.35,1,144,0.016
158,4961,0.4,1,154,0.015
158,5581,0.45,1,158,0
158,6201,0.5,1,158,0.015
158,6821,0.55,1,158,0.015
158,7441,0.6,1,156,0.015
158,8061,0.65,1,156,0.015
158,8682,0.7,1,156,0.032
158,9302,0.75,1,157,0.031
158,9922,0.8,1,158,0.016
158,10542,0.85,1,158,0.031
158,11162,0.9,1,158,0.016
158,11782,0.95,1,158,0.032
158,0,0,0,1,0
158,620,0.05,1,75,0.016
158,1240,0.1,1,105,0
158,1860,0.15,1,146,0.016
158,2480,0.2,1,143,0
158,3100,0.25,1,152,0
158,3720,0.3,1,158,0.016
158,4341,0.35,1,146,0
158,4961,0.4,1,154,0.016
158,5581,0.45,1,157,0
158,6201,0.5,1,157,0
158,6821,0.55,1,157,0.016
158,7441,0.6,1,158,0.016
158,8061,0.65,1,156,0.016
158,8682,0.7,1,157,0.016
158,9302,0.75,1,156,0.016
158,9922,0.8,1,158,0.016
158,10542,0.85,1,156,0.032
158,11162,0.9,1,158,0.015
158,11782,0.95,1,158,0.031
158,0,0,0,1,0
158,620,0.05,1,62,0
158,1240,0.1,1,113,0.015
158,1860,0.15,1,134,0
158,2480,0.2,1,142,0
158,3100,0.25,1,144,0.015
158,3720,0.3,1,138,0.016
158,4341,0.35,1,154,0.015
158,4961,0.4,1,152,0.016
158,5581,0.45,1,157,0.016
158,6201,0.5,1,156,0.016
158,6821,0.55,1,158,0.015
158,7441,0.6,1,155,0.016
158,8061,0.65,1,157,0.016
158,8682,0.7,1,158,0.016
158,9302,0.75,1,158,0.016
158,9922,0.8,1,158,0.016
158,10542,0.85,1,158,0.031
158,11162,0.9,1,158,0.031
158,11782,0.95,1,158,0.031
166,0,0,0,1,0
166,684,0.05,1,87,0
166,1369,0.1,1,125,0
166,2054,0.15,1,144,0.016
166,2739,0.2,1,161,0.015
166,3423,0.25,1,151,0.016
166,4108,0.3,1,155,0.015
166,4793,0.35,1,158,0.015
166,5478,0.4,1,162,0.016
166,6162,0.45,1,164,0.016
166,6847,0.5,1,166,0.016
166,7532,0.55,1,166,0.016
166,8217,0.6,1,166,0.015
166,8901,0.65,1,165,0.032
166,9586,0.7,1,163,0.031
166,10271,0.75,1,166,0.031
166,10956,0.8,1,166,0.031
166,11640,0.85,1,166,0.032
166,12325,0.9,1,166,0.031
166,13010,0.95,1,166,0.032
166,0,0,0,1,0
166,684,0.05,1,79,0
166,1369,0.1,1,137,0
166,2054,0.15,1,147,0.016
166,2739,0.2,1,146,0.015
166,3423,0.25,1,157,0.016
166,4108,0.3,1,166,0.016
166,4793,0.35,1,159,0.015
166,5478,0.4,1,161,0
