vertex_number,arista_number,r_value,és_connex,n_connexions,computation_time
31,0,0,0,31,0
31,289,0.05,1,1,0
31,94,0.1,0,5,0
31,36,0.15,0,11,0
31,26,0.2,0,13,0
31,16,0.25,0,20,0
31,8,0.3,0,25,0
31,4,0.35,0,28,0
31,4,0.4,0,28,0
31,4,0.45,0,28,0
31,4,0.5,0,28,0
31,0,0.55,0,31,0
31,0,0.6,0,31,0
31,0,0.65,0,31,0
31,0,0.7,0,31,0
31,0,0.75,0,31,0
31,0,0.8,0,31,0
31,0,0.85,0,31,0
31,0,0.9,0,31,0
31,0,0.95,0,31,0
31,0,0,0,31,0
31,289,0.05,1,1,1.84467e+16
31,94,0.1,0,5,0
31,36,0.15,0,11,0
31,26,0.2,0,13,0
31,16,0.25,0,20,0
31,8,0.3,0,25,0
31,4,0.35,0,28,0
31,4,0.4,0,28,0
31,4,0.45,0,28,0
31,4,0.5,0,28,0
31,0,0.55,0,31,0
31,0,0.6,0,31,0
31,0,0.65,0,31,0
31,0,0.7,0,31,0
31,0,0.75,0,31,0
31,0,0.8,0,31,0
31,0,0.85,0,31,0
31,0,0.9,0,31,0
31,0,0.95,0,31,0
31,0,0,0,31,0
31,289,0.05,1,1,0
31,94,0.1,0,5,0
31,36,0.15,0,11,0
31,26,0.2,0,13,0
31,16,0.25,0,20,0
31,8,0.3,0,25,0
31,4,0.35,0,28,0
31,4,0.4,0,28,0
31,4,0.45,0,28,0
31,4,0.5,0,28,0
31,0,0.55,0,31,0
31,0,0.6,0,31,0
31,0,0.65,0,31,0
31,0,0.7,0,31,0
31,0,0.75,0,31,0
31,0,0.8,0,31,0
31,0,0.85,0,31,0
31,0,0.9,0,31,0
31,0,0.95,0,31,0
31,0,0,0,31,0
31,289,0.05,1,1,0
31,94,0.1,0,5,0
31,36,0.15,0,11,0
31,26,0.2,0,13,0
31,16,0.25,0,20,0
31,8,0.3,0,25,0
31,4,0.35,0,28,0
31,4,0.4,0,28,0
31,4,0.45,0,28,0
31,4,0.5,0,28,0
31,0,0.55,0,31,0
31,0,0.6,0,31,0
31,0,0.65,0,31,0
31,0,0.7,0,31,0
31,0,0.75,0,31,0
31,0,0.8,0,31,0
31,0,0.85,0,31,0
31,0,0.9,0,31,0
31,0,0.95,0,31,0
31,0,0,0,31,0
31,289,0.05,1,1,0
31,94,0.1,0,5,0
31,36,0.15,0,11,0
31,26,0.2,0,13,0
31,16,0.25,0,20,0
31,8,0.3,0,25,0
31,4,0.35,0,28,0
31,4,0.4,0,28,0
31,4,0.45,0,28,0
31,4,0.5,0,28,0
31,0,0.55,0,31,0
31,0,0.6,0,31,0
31,0,0.65,0,31,0
31,0,0.7,0,31,0
31,0,0.75,0,31,0
31,0,0.8,0,31,0
31,0,0.85,0,31,0
31,0,0.9,0,31,0
31,0,0.95,0,31,0
83,0,0,0,83,0
