vertex_number,arista_number,p_value,is_giant,greatest_component,computation_time
107,0,0,0,1,0.000193
107,283,0.05,1,29,0.000565
107,567,0.1,1,72,0.00088
107,850,0.15,1,83,0.001199
107,1134,0.2,1,95,0.001476
107,1417,0.25,1,104,0.001779
107,1701,0.3,1,99,0.002055
107,1984,0.35,1,103,0.002265
107,2268,0.4,1,106,0.002596
107,2551,0.45,1,106,0.002941
107,2835,0.5,1,107,0.003148
107,3119,0.55,1,105,0.003825
107,3402,0.6,1,105,0.00415
107,3686,0.65,1,107,0.004111
107,3969,0.7,1,106,0.004483
107,4253,0.75,1,107,0.004799
107,4536,0.8,1,107,0.005058
107,4820,0.85,1,107,0.006005
107,5103,0.9,1,107,0.005777
107,5387,0.95,1,106,0.006235
107,0,0,0,1,0.000197
107,283,0.05,1,41,0.000561
107,567,0.1,1,81,0.000861
107,850,0.15,1,99,0.00121
107,1134,0.2,1,98,0.001429
107,1417,0.25,1,96,0.001786
107,1701,0.3,1,103,0.002075
107,1984,0.35,1,97,0.002375
107,2268,0.4,1,103,0.002581
107,2551,0.45,1,107,0.002816
107,2835,0.5,1,105,0.003627
107,3119,0.55,1,105,0.003528
107,3402,0.6,1,106,0.003864
107,3686,0.65,1,106,0.004264
107,3969,0.7,1,107,0.004864
107,4253,0.75,1,107,0.005091
107,4536,0.8,1,107,0.005492
107,4820,0.85,1,107,0.005429
107,5103,0.9,1,105,0.005865
107,5387,0.95,1,107,0.00662
107,0,0,0,1,0.000196
107,283,0.05,1,35,0.00055
107,567,0.1,1,71,0.000913
107,850,0.15,1,86,0.001199
107,1134,0.2,1,86,0.001562
107,1417,0.25,1,98,0.001927
107,1701,0.3,1,102,0.001979
107,1984,0.35,1,100,0.002555
107,2268,0.4,1,103,0.002546
107,2551,0.45,1,103,0.002934
107,2835,0.5,1,104,0.003207
107,3119,0.55,1,106,0.003565
107,3402,0.6,1,106,0.004116
107,3686,0.65,1,107,0.004014
107,3969,0.7,1,106,0.004541
107,4253,0.75,1,107,0.004815
107,4536,0.8,1,106,0.005306
107,4820,0.85,1,107,0.005389
107,5103,0.9,1,107,0.006216
107,5387,0.95,1,107,0.006157
107,0,0,0,1,0.000199
107,283,0.05,1,57,0.000571
107,567,0.1,1,64,0.000939
107,850,0.15,1,79,0.001197
107,1134,0.2,1,92,0.001428
107,1417,0.25,1,101,0.001732
107,1701,0.3,1,100,0.001999
107,1984,0.35,1,105,0.002325
107,2268,0.4,1,102,0.002799
107,2551,0.45,1,100,0.002969
